CIE9;LITERAL9
0010;COLERA DEBIDO A VIBRIO CHOLERAE
0010;COLERA DEBIDO A VIBRIO CHOLERAE
0011;COLERA DEBIDO A VIBRIO CHOLERAE EL TOR
0019;COLERA SIN ESPECIFICACION
0020;FIEBRE TIFOIDEA
0021;FIEBRE PARATIFOIDEA A
0022;FIEBRE PARATIFOIDEA B
0023;FIEBRE PARATIFOIDEA C
0029;FIEBRE PARATIFOIDEA, DE TIPO NO ESPECIFICADO
0030;GASTROENTERITIS DEBIDA A SALMONELLA
0031;SEPTICEMIA DEBIDA A SALMONELLA
0032;INFECCION LOCALIZADA DEBIDA A SALMONELLA
0038;OTRAS INFECCIONES POR SALMONELLA
0039;INFECCIONES POR SALMONELLA SIN ESPECIFICACION
0040;SHIGELLA DYSENTERIAE
0041;SHIGELLA FLEXNERI
0042;SHIGELLA BOYDII
0043;SHIGELLA SONNEI
0048;OTRAS INFECCIONES POR SHIGELLA
0049;INFECCIONES POR SHIGELLA SIN ESPECIFICACION
0050;INTOXICACION ALIMENTARIA ESTAFILOCOCICA
0051;BOTULISMO
0052;INTOXICACION ALIMENTARIA DEBIDA A CLOSTRIDIUM PERFRINGENS
0053;INTOX ALIMENTARIA DEBIDA A OTRAS ESPECIES DE CLOSTRIDIUM
0054;INTOXICACION ALIMENTARIA DEBIDA A VIBRIO PARAHAEMOLYTICUS
0058;OTRA INTOXICACION ALIMENTARIA BACTERIANA
0058;OTRA INTOXICACION ALIMENTARIA BACTERIANA
0059;INTOXICACION ALIMENTARIA SIN OTRA ESPECIFICACION
0059;INTOXICACION ALIMENTARIA SIN OTRA ESPECIFICACION
0060;DISENTERIA AMEBIANA AGUDA SIN MENCION DE ABSCESO
0061;AMEBIASIS INTESTINAL CRONICA SIN MENCION DE ABSCESO
0062;COLITIS AMEBIANA NO DISENTERICA
0062;COLITIS AMEBIANA NO DISENTERICA
0063;ABSCESO AMEBIANO DEL HIGADO
0064;ABSCESO AMEBIANO DEL PULMON
0065;ABSCESO AMEBIANO DEL ENCEFALO
0066;ULCERACION AMEBIANA DE LA PIEL
0068;INFECCION AMEBIANA DE OTRAS LOCALIZACIONES
0068;INFECCION AMEBIANA DE OTRAS LOCALIZACIONES
0068;INFECCION AMEBIANA DE OTRAS LOCALIZACIONES
0069;AMEBIASIS NO ESPECIFICADA
0069;AMEBIASIS NO ESPECIFICADA
0069;AMEBIASIS NO ESPECIFICADA
0070;BALANTIDIASIS
0071;GIARDIASIS
0072;COCCIDIOSIS
0073;TRICOMONIASIS INTESTINAL
0078;OTRAS ENFERMEDADES INTESTINALES DEBIDAS A PROTOZOARIOS
0078;OTRAS ENFERMEDADES INTESTINALES DEBIDAS A PROTOZOARIOS
0079;ENF.INTES.DEBIDAS A PROTOZOARIOS SIN ESPECIFICACION
0080;ESCHERICHIA COLI
0080;ESCHERICHIA COLI
0080;ESCHERICHIA COLI
0080;ESCHERICHIA COLI
0080;ESCHERICHIA COLI
0081;ARIZONA
0082;AEROBACTER AEROGENES
0083;PROTEUS (MIRABILIS)(MORGANII)
0084;OTRAS BACTERIAS ESPECIFICADAS
0084;OTRAS BACTERIAS ESPECIFICADAS
0084;OTRAS BACTERIAS ESPECIFICADAS
0084;OTRAS BACTERIAS ESPECIFICADAS
0085;ENTERITIS BACTERIANA, SIN OTRA ESPECIFICACION
0086;ENTERITIS DEBIDAS A VIRUS ESPECIFICADOS
0086;ENTERITIS DEBIDAS A VIRUS ESPECIFICADOS
0086;ENTERITIS DEBIDAS A VIRUS ESPECIFICADOS
0086;ENTERITIS DEBIDAS A VIRUS ESPECIFICADOS
0088;OTROS ORGANISMOS, NO CLASIFICADOS EN OTRA PARTE
0088;OTROS ORGANISMOS, NO CLASIFICADOS EN OTRA PARTE
0090;COLITIS, ENTERITIS Y GASTROENTERITIS INFECCIOSAS
0090;COLITIS, ENTERITIS Y GASTROENTERITIS INFECCIOSAS
0091;COLITIS, ENTERITIS Y G.E DE PRESUNTO ORIGEN INFECCIOSO
0092;DIARREA INFECCIOSA
0093;DIARREA DE PRESUNTO ORIGEN INFECCIOSO
0100;COMPLEJO TUBERCULOSO PRIMARIO
0100;COMPLEJO TUBERCULOSO PRIMARIO
0101;PLEURESIA TUBERCULOSA EN TUBERCULOSIS PROGRESIVA PRIMARIA
0101;PLEURESIA TUBERCULOSA EN TUBERCULOSIS PROGRESIVA PRIMARIA
0108;OTRA TUBERCULOSIS PRIMARIA
0108;OTRA TUBERCULOSIS PRIMARIA
0109;TUBERCULOSIS PRIMARIA SIN ESPECIFICACION
0109;TUBERCULOSIS PRIMARIA SIN ESPECIFICACION
0110;TUBERCULOSIS INFILTRATIVA DEL PULMON
0111;TUBERCULOSIS NODULAR DEL PULMON
0111;TUBERCULOSIS NODULAR DEL PULMON
0112;TUBERCULOSIS DEL PULMON CON CAVERNA
0113;TUBERCULOSIS DE LOS BRONQUIOS
0113;TUBERCULOSIS DE LOS BRONQUIOS
0114;FIBROSIS TUBERCULOSA DEL PULMON
0114;FIBROSIS TUBERCULOSA DEL PULMON
0115;BRONQUIECTASIA TUBERCULOSA
0116;NEUMONIA TUBERCULOSA (CUALQUIER FORMA)
0117;NEUMOTORAX TUBERCULOSO
0118;OTRA TUBERCULOSIS PULMONAR
0118;OTRA TUBERCULOSIS PULMONAR
